epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3272.75,0.4651,0.46446,1.02522,0.93556,0.94178,0.97796,0.90257,0.42197,0.34316,0.98945,0.000494885,0.000494885,0.000494885
43,3350.13,0.44792,0.45837,1.02169,0.91385,0.95495,0.96734,0.89097,0.43629,0.41583,1.0112,0.000486639,0.000486639,0.000486639
44,3427.45,0.44463,0.4343,1.01134,0.90826,0.93436,0.97681,0.90387,0.41399,0.36692,0.97674,0.000478392,0.000478392,0.000478392
45,3504.82,0.44636,0.43258,1.01572,0.90406,0.98113,0.98558,0.91754,0.40314,0.34206,0.96444,0.000470145,0.000470145,0.000470145
46,3582.28,0.4584,0.45562,1.01836,0.91303,0.94818,0.97742,0.9031,0.41979,0.36362,0.98537,0.000461898,0.000461898,0.000461898
47,3659.62,0.44265,0.47494,1.01064,0.94947,0.92633,0.97467,0.89593,0.42108,0.35703,0.98377,0.000453652,0.000453652,0.000453652
48,3736.71,0.43292,0.40784,0.99944,0.92187,0.95915,0.97423,0.90362,0.40851,0.32773,0.97149,0.000445405,0.000445405,0.000445405
49,3813.79,0.42793,0.42445,1.00341,0.91358,0.95563,0.97552,0.90115,0.42223,0.3372,0.9869,0.000437158,0.000437158,0.000437158
50,3890.5,0.43503,0.45183,1.00712,0.97439,0.92107,0.98742,0.91123,0.40699,0.33689,0.97135,0.000428912,0.000428912,0.000428912
51,3967.28,0.44019,0.41398,1.00724,0.93371,0.93732,0.98391,0.90959,0.40445,0.31499,0.9703,0.000420665,0.000420665,0.000420665
52,4044.12,0.42632,0.39324,1.02285,0.95794,0.91756,0.98414,0.9061,0.41036,0.31462,0.97806,0.000412418,0.000412418,0.000412418
53,4121.5,0.4287,0.40103,1.00221,0.9366,0.92851,0.98198,0.9096,0.41597,0.32439,0.97285,0.000404172,0.000404172,0.000404172
54,4199.15,0.42534,0.40302,1.00174,0.88178,0.94057,0.97383,0.89492,0.41806,0.39324,0.9826,0.000395925,0.000395925,0.000395925
55,4275.94,0.42628,0.40374,1.0022,0.96113,0.94768,0.98149,0.9056,0.41044,0.3117,0.97111,0.000387678,0.000387678,0.000387678
56,4352.74,0.43054,0.40902,1.00919,0.94691,0.96326,0.98851,0.91978,0.3861,0.30647,0.96038,0.000379431,0.000379431,0.000379431
57,4430,0.42753,0.42617,0.99769,0.916,0.95373,0.97348,0.90813,0.40612,0.33514,0.96958,0.000371185,0.000371185,0.000371185
58,4507.17,0.4321,0.39643,1.00757,0.91539,0.93673,0.97806,0.89335,0.42654,0.34575,0.99003,0.000362938,0.000362938,0.000362938
59,4584.28,0.41965,0.3859,0.98967,0.90171,0.95936,0.97914,0.90419,0.43021,0.36087,0.98244,0.000354691,0.000354691,0.000354691
60,4661.36,0.41902,0.38979,0.99244,0.92814,0.96424,0.98114,0.90858,0.41968,0.35253,0.98471,0.000346445,0.000346445,0.000346445
61,4738.5,0.40754,0.38295,0.98947,0.94285,0.96068,0.982,0.91806,0.39723,0.3075,0.96963,0.000338198,0.000338198,0.000338198
62,4815.97,0.40891,0.36722,0.98702,0.9555,0.93161,0.97163,0.91396,0.38817,0.31973,0.96056,0.000329951,0.000329951,0.000329951
63,4893.07,0.41427,0.37177,0.99622,0.92149,0.95799,0.97068,0.90575,0.39474,0.30779,0.96864,0.000321705,0.000321705,0.000321705
64,4969.86,0.40719,0.36795,0.98705,0.93417,0.95869,0.97739,0.90925,0.40265,0.31895,0.97411,0.000313458,0.000313458,0.000313458
65,5046.79,0.40267,0.38515,0.98662,0.94943,0.94542,0.97813,0.91289,0.3968,0.31831,0.96573,0.000305211,0.000305211,0.000305211
66,5124.08,0.40454,0.37238,0.99376,0.93682,0.96141,0.9827,0.90576,0.41217,0.31379,0.97434,0.000296964,0.000296964,0.000296964
67,5200.93,0.40721,0.36871,0.98678,0.94461,0.95363,0.98007,0.90601,0.40311,0.32164,0.96244,0.000288718,0.000288718,0.000288718
68,5278.31,0.40065,0.34412,0.98545,0.90512,0.97465,0.9821,0.90629,0.39471,0.33868,0.95487,0.000280471,0.000280471,0.000280471
69,5355.46,0.40472,0.35515,0.98268,0.93674,0.97163,0.98206,0.91264,0.40905,0.32556,0.97883,0.000272224,0.000272224,0.000272224
70,5432.9,0.39366,0.39081,0.9781,0.93055,0.96488,0.9809,0.91591,0.3875,0.31146,0.95337,0.000263978,0.000263978,0.000263978
71,5510.13,0.3893,0.36565,0.97227,0.97256,0.95691,0.9838,0.90981,0.39746,0.31323,0.95891,0.000255731,0.000255731,0.000255731
72,5586.97,0.39769,0.34957,0.98353,0.93788,0.96178,0.98452,0.90997,0.38695,0.31736,0.95915,0.000247484,0.000247484,0.000247484
73,5664.38,0.38461,0.3498,0.97324,0.92059,0.96178,0.9788,0.91625,0.38472,0.33906,0.95185,0.000239238,0.000239238,0.000239238
74,5741.9,0.40579,0.36029,0.98908,0.95104,0.97242,0.98695,0.92013,0.40356,0.31052,0.95796,0.000230991,0.000230991,0.000230991
75,5819.35,0.38488,0.33173,0.98004,0.95708,0.96903,0.98575,0.91876,0.39869,0.31555,0.96222,0.000222744,0.000222744,0.000222744
